province,folder_owner,email_type,folder_id,folder_url,error
กาฬสินธุ์,ksn.ectreport69@gmail.com,ect_gmail,1nRvDR4BWnW0j4DmeS4owe6Pb0iiUrudv,https://drive.google.com/drive/folders/1nRvDR4BWnW0j4DmeS4owe6Pb0iiUrudv,
สกลนคร,snk.ectreport69@gmail.com,ect_gmail,1EAH4dIYh2hgF0xXVTWNsRggtZS_2zaCD,https://drive.google.com/drive/folders/1EAH4dIYh2hgF0xXVTWNsRggtZS_2zaCD,
นครพนม,election2569saonpm2025@gmail.com,ect_gmail,11VfP-Cst29ZKdRSS7kj9g7IgxMKdUyNK,https://drive.google.com/drive/folders/11VfP-Cst29ZKdRSS7kj9g7IgxMKdUyNK?usp=drive_link,
มุกดาหาร,mdh.report1@gmail.com,personal,17r8Me6sljlN1NC7er3skOZfpbV1w4aE0,https://drive.google.com/drive/folders/17r8Me6sljlN1NC7er3skOZfpbV1w4aE0,
เชียงใหม่,cmi.ectreport@gmail.com,ect_gmail,1RWvYL-2KyyyCKGjF6qj39qKkpUjI6oML,https://drive.google.com/drive/folders/1RWvYL-2KyyyCKGjF6qj39qKkpUjI6oML?usp=sharing,
ลำพูน,ectlp2017@gmail.com,ect_gmail,1nTVc_RgxSJIAHN2Zk3Y6KEbCteobL_bH,https://drive.google.com/drive/folders/1nTVc_RgxSJIAHN2Zk3Y6KEbCteobL_bH,
ลำปาง,lpg2report@gmail.com,personal,153yUnWv_2EWXSAbtsTTBE-wQYn9-6yXA,https://drive.google.com/drive/folders/153yUnWv_2EWXSAbtsTTBE-wQYn9-6yXA?usp=sharing,
อุตรดิตถ์,utd.ectreport@gmail.com,ect_gmail,1GBBRBIh-EmpHNwRXIoL8NYeftv6a-Zf2,https://drive.google.com/drive/folders/1GBBRBIh-EmpHNwRXIoL8NYeftv6a-Zf2,
แพร่,phrae@ect.go.th,official_ect,1wD2ICNJHLhW0UaisZpW8ie49RC8Ba50v,https://drive.google.com/drive/folders/1wD2ICNJHLhW0UaisZpW8ie49RC8Ba50v?usp=drive_link,
น่าน,election.ectnn@gmail.com,ect_gmail,1Qxfkwmm98At95sWBoMStaYaUvGNh6jxd,https://drive.google.com/drive/folders/1Qxfkwmm98At95sWBoMStaYaUvGNh6jxd,
พะเยา,pyo.ectreport@gmail.com,ect_gmail,1e_3_iZiijJIUxY20L55tZYW4AAXTnezQ,https://drive.google.com/drive/folders/1e_3_iZiijJIUxY20L55tZYW4AAXTnezQ,
เชียงราย,chiangrai.ectreport@gmail.com,ect_gmail,1w6ExwHN1c2qakXqUxAh7KmTJmZT-SSOo,https://drive.google.com/drive/folders/1w6ExwHN1c2qakXqUxAh7KmTJmZT-SSOo,
แม่ฮ่องสอน,gun_nattawat.k@hotmail.com,personal,1pM3S1USNWiOptbXo3bohzh5TvibXwWge,https://drive.google.com/drive/folders/1pM3S1USNWiOptbXo3bohzh5TvibXwWge,
นครสวรรค์,nakhonsa05.ect@gmail.com,ect_gmail,1EE6JUZARf71n4j9UZyIkf82TquHgWUe0,https://drive.google.com/drive/folders/1EE6JUZARf71n4j9UZyIkf82TquHgWUe0,
อุทัยธานี,uthaithani.ect@gmail.com,ect_gmail,1AEsdI9srCecTof5DeIAs9vYUay4KSzVH,https://drive.google.com/drive/folders/1AEsdI9srCecTof5DeIAs9vYUay4KSzVH,
กำแพงเพชร,kpt.ectreport@gmail.com,ect_gmail,1YFrEvow3-HwkcosJuXNeI82DL1WSrK_S,https://drive.google.com/drive/folders/1YFrEvow3-HwkcosJuXNeI82DL1WSrK_S,
ตาก,ect.1tak@gmail.com,ect_gmail,19vRSFjNCdHx2SqCb1fpWqC1UguoTmCNx,https://drive.google.com/drive/folders/19vRSFjNCdHx2SqCb1fpWqC1UguoTmCNx,
สุโขทัย,ectsukho@gmail.com,ect_gmail,1vDNUdsIBQUVVe1wX2sRfs-hzJ6g_eAkn,https://drive.google.com/drive/folders/1vDNUdsIBQUVVe1wX2sRfs-hzJ6g_eAkn,
พิษณุโลก,plk.ectreport@gmail.com,ect_gmail,1I28S5sE3JOsbux5zk3oXp2gEe58-TpQ5,https://drive.google.com/drive/folders/1I28S5sE3JOsbux5zk3oXp2gEe58-TpQ5?usp=sharing,
พิจิตร,pct.ectreport@gmail.com,ect_gmail,1At01M8EipiffkqpTRT2uln5FTcA-Mktj,https://drive.google.com/drive/folders/1At01M8EipiffkqpTRT2uln5FTcA-Mktj,
เพชรบูรณ์,ectreportpnb@gmail.com,ect_gmail,11xsNcsLAmjIIpBZu48FdjBFMerqQjNAQ,https://drive.google.com/drive/folders/11xsNcsLAmjIIpBZu48FdjBFMerqQjNAQ,
ราชบุรี,rbrrbr.ectreport@gmail.com,ect_gmail,1cbnTDoiRs1_BB60kx2nNlbUKkByOfNPI,https://drive.google.com/drive/folders/1cbnTDoiRs1_BB60kx2nNlbUKkByOfNPI,
กาญจนบุรี,kri.ectreport@gmail.com,ect_gmail,1h98dubKjCGNWqajx-KZx-bXlACzg6B4X,https://drive.google.com/drive/folders/1h98dubKjCGNWqajx-KZx-bXlACzg6B4X,
สุพรรณบุรี,spb.ectreport69@gmail.com,ect_gmail,1t5GO6gg4W6rMGcO8pQOLYKLraVRUgAgR,https://drive.google.com/drive/folders/1t5GO6gg4W6rMGcO8pQOLYKLraVRUgAgR,
นครปฐม,angthong@ect.go.th,official_ect,1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,https://drive.google.com/drive/folders/1pIq99HvFS-9AZ9MT1dWr6qV1kZG_bAmc,
สมุทรสาคร,skn.ectreport@gmail.com,ect_gmail,1UJ_DgxRSWCcGzqsIQxA_vWgZqsZNncD1,https://drive.google.com/drive/folders/1UJ_DgxRSWCcGzqsIQxA_vWgZqsZNncD1,
สมุทรสงคราม,skm.ectreport@gmail.com,ect_gmail,1KLHjx-aovF3TTcFJdzzrt-nQ7-wWuzAc,https://drive.google.com/drive/folders/1KLHjx-aovF3TTcFJdzzrt-nQ7-wWuzAc,
เพชรบุรี,pbi.ectreport1@gmail.com,ect_gmail,1rLzQX8s86Dy5-gkSoaMr-fGfHOfyKOMj,https://drive.google.com/drive/folders/1rLzQX8s86Dy5-gkSoaMr-fGfHOfyKOMj,
ประจวบคีรีขันธ์,pkn.ectreport@gmail.com,ect_gmail,1pV61BgH_CEOM-ETOvssJcYJBrjsiNuuV,https://drive.google.com/drive/folders/1pV61BgH_CEOM-ETOvssJcYJBrjsiNuuV,
นครศรีธรรมราช,ectnst123456@gmail.com,ect_gmail,1Sn2_mAtcns6Q-Rn8QjlYdIYqvbiNt7DB,https://drive.google.com/drive/folders/1Sn2_mAtcns6Q-Rn8QjlYdIYqvbiNt7DB,
กระบี่,kbi.ectreport@gmail.com,ect_gmail,1jG2TcSJVrmvOacW0kMaDaVzrU2wM6Quc,https://drive.google.com/drive/folders/1jG2TcSJVrmvOacW0kMaDaVzrU2wM6Quc,
พังงา,phangngaect@gmail.com,ect_gmail,1OsTJ5mpr5BGxC29w-hUDmJztZQonU6mZ,https://drive.google.com/drive/folders/1OsTJ5mpr5BGxC29w-hUDmJztZQonU6mZ,
ภูเก็ต,hkt.ectreport@gmail.com,ect_gmail,1AsZpIJhIrt1XEmF8NASilMML_qf4We-C,https://drive.google.com/drive/folders/1AsZpIJhIrt1XEmF8NASilMML_qf4We-C,
สุราษฎร์ธานี,sni.ectreport123@gmail.com,ect_gmail,17P3jpRHAFCOlZOoo_z_XQRwqt34Ocd9P,https://drive.google.com/drive/folders/17P3jpRHAFCOlZOoo_z_XQRwqt34Ocd9P,
ระนอง,,error,1YHilYNAtKRSrGJw3xRDB1HuzoibkcVRo,https://drive.google.com/drive/folders/1YHilYNAtKRSrGJw3xRDB1HuzoibkcVRo,empty_folder
ชุมพร,cpn.ectreport@gmail.com,ect_gmail,1Hhtc2g_Tr5cWt4mVeSKgx6GbP1ZpT85k,https://drive.google.com/drive/folders/1Hhtc2g_Tr5cWt4mVeSKgx6GbP1ZpT85k,
สงขลา,songkhlaect69@gmail.com,ect_gmail,1smYf3sOszd3onwYx-q1JthQ5_6bDgAjs,https://drive.google.com/drive/folders/1smYf3sOszd3onwYx-q1JthQ5_6bDgAjs,
สตูล,stn1.ectreport@gmail.com,ect_gmail,1vSbfvVzsd6SCO2gIfw-AHuyJZqo9vovE,https://drive.google.com/drive/folders/1vSbfvVzsd6SCO2gIfw-AHuyJZqo9vovE,
ตรัง,trg.ectreport@gmail.com,ect_gmail,1bQiDrKRbJ9seMVA6XlUhRFUw5sRMovrz,https://drive.google.com/drive/folders/1bQiDrKRbJ9seMVA6XlUhRFUw5sRMovrz,
พัทลุง,plg.ectreport69@gmail.com,ect_gmail,1iZAbINx1SXfr50Ul5ljAc68Si7tDV9Sz,https://drive.google.com/drive/folders/1iZAbINx1SXfr50Ul5ljAc68Si7tDV9Sz,
ปัตตานี,pattani.ectreport@gmail.com,ect_gmail,1_y3m72ukRQM1kTa5XPR_qiQC6foLci5a,https://drive.google.com/drive/folders/1_y3m72ukRQM1kTa5XPR_qiQC6foLci5a,
ยะลา,yla.ectreport1@gmail.com,ect_gmail,1GWDOvgZI4njIepaFVQ-skYZ7LUxF-ylT,https://drive.google.com/drive/folders/1GWDOvgZI4njIepaFVQ-skYZ7LUxF-ylT,
นราธิวาส,nwt.ectreport@gmail.com,ect_gmail,1XRZIqhC4n6JEYCnON868am2pP4vMByE1,https://drive.google.com/drive/u/1/folders/1XRZIqhC4n6JEYCnON868am2pP4vMByE1,
